,epoch,train,val
0,0,5.2389946118871196e+23,2.7218418919141847e+24
1,10,5.2171971643128785e+23,2.72184189191386e+24
2,20,5.236650620752234e+23,2.7218418919129574e+24
3,30,5.228061171347925e+23,2.721841891910963e+24
4,40,5.2171519667097805e+23,2.7218418919063067e+24
5,50,5.23444309662878e+23,2.721841891897948e+24
6,60,5.247993269688887e+23,2.7218418918858777e+24
7,70,5.2314729673076116e+23,2.7218418918710525e+24
8,80,5.250669788479718e+23,2.7218418918440973e+24
9,90,5.2027939138968537e+23,2.7218418916265636e+24
