,epoch,train,val
0,0,2840617818259456.0,2.1787835085007532e+16
1,10,3510807560192.0,3324162779818.6665
2,20,2504950442.6666665,94602319189.33333
3,30,241338438997.33334,8627624607744.0
4,40,2276141909.3333335,71902838784.0
5,50,30807362218.666668,23720837120.0
6,60,51780125720576.0,641418133504.0
7,70,1102745088.0,1686441642.6666667
8,80,106827722.66666667,654973781.3333334
9,90,11932087637.333334,8890664277.333334
10,100,20648099840.0,713311360.0
11,110,427871360.0,2786971527850.6665
12,120,1274862848.0,20650931541.333332
13,130,415579434.6666667,114784152234.66667
14,140,5548475392.0,29659419989.333332
15,150,401497.3333333333,2219904853.3333335
16,160,358028842.6666667,29605003264.0
17,170,2471211690.6666665,126204663125.33333
18,180,1238375509.3333333,1612384597.3333333
19,190,2424550741.3333335,6331410432.0
20,200,850843306.6666666,6531533766656.0
21,210,57973957.333333336,5367794346.666667
22,220,7417469610.666667,7046636202.666667
23,230,166519189.33333334,8512851285.333333
24,240,2354627.1666666665,2474394965.3333335
25,250,489378816.0,510046976.0
26,260,3620835328.0,977854720.0
27,270,211856320.0,6500223658.666667
28,280,162181450.66666666,4725033642.666667
29,290,70030.02083333333,234381056.0
30,300,242177728.0,37761581.333333336
31,310,172032714.66666666,63034261.333333336
32,320,453736093013.3333,49536860160.0
33,330,13925493418.666666,3048814.6666666665
34,340,16759892650.666666,5111025664.0
35,350,804972202.6666666,314001770.6666667
36,360,28833869.333333332,105877610.66666667
37,370,34442250922.666664,4357623466.666667
38,380,516700160.0,29864241834.666668
39,390,2828712.3333333335,839589717.3333334
40,400,83960.47916666667,1406729984.0
41,410,8047489706.666667,38813777920.0
42,420,1872692224.0,78253424640.0
43,430,55053839018.666664,13294409045.333334
44,440,506721664.0,82124341248.0
45,450,2232360618.6666665,4760548693.333333
46,460,1975110656.0,445309517824.0
47,470,86974282.66666667,82241072.0
48,480,950207829.3333334,222645930.66666666
49,490,159746581.33333334,1113341269.3333333
50,500,1774234.1666666667,476056874.6666667
51,510,21722338645.333332,147944768.0
52,520,25387360256.0,31524579005781.332
53,530,1602945365.3333333,138674394453.33334
54,540,983535957.3333334,16346551637.333334
55,550,3090027520.0,2334548992.0
56,560,12708170.666666666,458349397.3333333
57,570,37612882602.666664,506435456.0
58,580,217727637.33333334,3466064213.3333335
59,590,62003653.333333336,8057920853.333333
60,600,34779082.666666664,3737701376.0
61,610,253250368.0,6066987008.0
62,620,1044036190208.0,1857217706.6666667
63,630,85583413.33333333,2878709077.3333335
64,640,4127436117.3333335,918074112.0
65,650,1518312106.6666667,229663765.33333334
66,660,282034624.0,15071974.666666666
67,670,90078816.0,400771456.0
68,680,62388298.666666664,1175799637.3333333
69,690,9778006016.0,2779943082.6666665
70,700,6846539093.333333,44772400.0
71,710,284661909.3333333,1068368128.0
72,720,271230528.0,8891710.666666666
73,730,132084053.33333333,3822936.6666666665
74,740,2012116.6666666667,23466338986.666668
75,750,1455745024.0,542695936.0
76,760,45732501.333333336,13278087850.666666
77,770,206956970.66666666,16319321429.333334
78,780,1620282538.6666667,470825514.6666667
79,790,499.6433512369792,21072435882.666668
80,800,11529349802.666666,18409241258.666668
81,810,28447610.666666668,400686754474.6667
82,820,891413162.6666666,105397578.66666667
83,830,654043.9166666666,516961.7916666667
84,840,16387022.666666666,1370613077.3333333
85,850,764992.3333333334,789866325.3333334
86,860,102492213.33333333,1456996693.3333333
87,870,17399597738.666668,441937877.3333333
88,880,14071797.333333334,9683060053.333334
89,890,28752200.0,721447201450.6666
90,900,782833636693.3334,22642.776041666668
91,910,107548512.0,1163422037.3333333
92,920,146418837.33333334,1709834410.6666667
93,930,96523957.33333333,1494782634.6666667
94,940,18141.337239583332,86898869.33333333
95,950,1582298112.0,19946303488.0
96,960,16938090.666666668,26198264.0
97,970,154453301.33333334,8856776704.0
98,980,747694.9166666666,214649685.33333334
99,990,2059584.3333333333,300291392.0
