,epoch,train,val
0,0,5.467690884657497e+23,2.70311386889123e+24
1,10,5.4630458452325505e+23,2.702054560068556e+24
2,20,5.4483760874762165e+23,2.694001317019253e+24
3,30,5.4578048256180506e+23,2.6829901145424235e+24
4,40,5.4176354489920756e+23,2.6777152657531893e+24
5,50,5.4041742592530056e+23,2.677084557670644e+24
6,60,5.3895542768422155e+23,2.676090426310308e+24
7,70,5.440435009238739e+23,2.680496546784564e+24
8,80,5.4694572813570537e+23,2.6836839281269303e+24
9,90,5.458348868435872e+23,2.6908714046693847e+24
10,100,5.4704374137252875e+23,2.6948505757584556e+24
11,110,5.461847023065495e+23,2.6983344609156436e+24
12,120,5.5120783249183775e+23,2.7007751865377295e+24
13,130,5.5037970363296473e+23,2.701978470001065e+24
14,140,5.5140488212227114e+23,2.702656094674909e+24
15,150,5.4858111043953424e+23,2.7029608238710385e+24
16,160,5.480312927359369e+23,2.70305057816362e+24
17,170,5.4548205427050115e+23,2.7031033972289256e+24
18,180,5.522536113076338e+23,2.702637715838179e+24
19,190,5.518940916959598e+23,2.6979736598983444e+24
20,200,5.4502535350410425e+23,2.6890158099833415e+24
21,210,5.3950010085779074e+23,2.6779512161535044e+24
22,220,5.41688381949569e+23,2.681358373635566e+24
23,230,5.4618396003344454e+23,2.6887986716321344e+24
24,240,5.496476067429611e+23,2.69333450041879e+24
25,250,5.4670581859279196e+23,2.698342155674632e+24
26,260,5.481909471944841e+23,2.701066832679581e+24
27,270,5.469801254387083e+23,2.702280964805834e+24
28,280,5.507659055472622e+23,2.7028497035209184e+24
29,290,5.517866501592313e+23,2.7030314317399787e+24
30,300,5.4830159683459635e+23,2.703091411459701e+24
31,310,5.453885922031481e+23,2.7031076898988844e+24
32,320,5.510778511931083e+23,2.7031126596319394e+24
33,330,5.485920530232007e+23,2.7031137848305254e+24
34,340,5.515493307115456e+23,2.703114058603056e+24
35,350,5.460055583736856e+23,2.703114120746405e+24
36,360,5.4827857063580885e+23,2.70311413107214e+24
37,370,5.504512161651464e+23,2.703114133759862e+24
38,380,5.517232944087238e+23,2.7031141344116145e+24
39,390,5.5074422706852905e+23,2.703114134538471e+24
40,400,5.469890670941314e+23,2.7031141345661217e+24
41,410,5.478150713998903e+23,2.70311413457173e+24
42,420,5.467586812310607e+23,2.7031141345728267e+24
43,430,5.519088735051319e+23,2.703114134573171e+24
44,440,5.409689076624575e+23,2.703114134573289e+24
45,450,5.4832248486218486e+23,2.703114134573385e+24
46,460,5.4900383917421914e+23,2.7031141345734693e+24
47,470,5.4916157144826094e+23,2.7031141345734376e+24
48,480,5.527861781679913e+23,2.703114134573426e+24
49,490,5.509214534274014e+23,2.7031141345734876e+24
