,epoch,train,val
0,0,5.5012649276166104e+23,2.70311398486753e+24
1,10,5.4416303172726425e+23,2.7026042069182886e+24
2,20,5.476759506659352e+23,2.699192267313996e+24
3,30,5.488160197180791e+23,2.691886611399384e+24
4,40,5.386708809469321e+23,2.6848826695870784e+24
5,50,5.371561418524193e+23,2.6691742953949273e+24
6,60,5.360379018361184e+23,2.644296274547577e+24
7,70,5.366781424850693e+23,2.6287808434866235e+24
8,80,5.36838997498419e+23,2.640922254362048e+24
9,90,5.4105676808161576e+23,2.647230764366407e+24
10,100,5.432107010930501e+23,2.668286359350365e+24
11,110,5.447776394918478e+23,2.6966842112731247e+24
12,120,5.456478367633626e+23,2.700515195037005e+24
13,130,5.499438648585611e+23,2.7021710254206737e+24
14,140,5.510759548572112e+23,2.7026483781579453e+24
15,150,5.5087760323382e+23,2.702957261071424e+24
16,160,5.513470035826056e+23,2.7030371681273117e+24
17,170,5.502699556551426e+23,2.703076287739379e+24
18,180,5.422318361774872e+23,2.70310609518802e+24
19,190,5.46249205680492e+23,2.7031129547219024e+24
20,200,5.478034220514685e+23,2.7031137616219357e+24
21,210,5.503657630071628e+23,2.703114029671914e+24
22,220,5.517115381932009e+23,2.703114114732564e+24
23,230,5.479517805629801e+23,2.703114129716952e+24
24,240,5.5316916036364776e+23,2.7031141330633303e+24
25,250,5.5170090719212276e+23,2.70311413422202e+24
26,260,5.498067421765342e+23,2.7031141344811833e+24
27,270,5.453946920414197e+23,2.7031141345512874e+24
28,280,5.473364669355271e+23,2.7031141345642437e+24
29,290,5.487261607003923e+23,2.7031141345705154e+24
30,300,5.465591128340342e+23,2.7031141345722254e+24
31,310,5.501201054042649e+23,2.7031141345727193e+24
32,320,5.5253266096277476e+23,2.7031141345730006e+24
33,330,5.463346329664123e+23,2.7031141345731955e+24
34,340,5.4658306865013976e+23,2.703114134573104e+24
35,350,5.4846650409355316e+23,2.703114134573218e+24
36,360,5.503975566615583e+23,2.703114134573283e+24
37,370,5.5007955827688526e+23,2.7031141345733335e+24
38,380,5.495185495093817e+23,2.703114134573423e+24
39,390,5.507173222663869e+23,2.7031141345734763e+24
40,400,5.5052332947684176e+23,2.703114134573516e+24
41,410,5.4938486377432395e+23,2.7031141345735826e+24
42,420,5.461473904907723e+23,2.703114134573556e+24
43,430,5.5278760651268637e+23,2.7031141345737e+24
44,440,5.469842083848628e+23,2.7031141345737775e+24
45,450,5.483493661876131e+23,2.7031141345737737e+24
46,460,5.490751681716944e+23,2.703114134573759e+24
47,470,5.4218189268279994e+23,2.703114134573902e+24
48,480,5.5249114608616384e+23,2.703114134573969e+24
49,490,5.5063630286641673e+23,2.7031141345739987e+24
