,epoch,train,val
0,0,5.248775261878686e+23,2.7218418919139796e+24
1,10,5.221120936181123e+23,2.7218418919138336e+24
2,20,5.214093369567353e+23,2.721841891913262e+24
3,30,5.240179786776347e+23,2.7218418919111943e+24
4,40,5.230318622515864e+23,2.7218418919073267e+24
5,50,5.189249480991588e+23,2.721841891903383e+24
6,60,5.229667340379501e+23,2.7218418918962194e+24
7,70,5.178185163400581e+23,2.721841891900922e+24
8,80,5.222575368834186e+23,2.721841891859809e+24
9,90,5.203512679186171e+23,2.7218418918145463e+24
