,epoch,train,val
0,0,5.455507702159701e+23,2.703114134500006e+24
1,10,5.485493710544217e+23,2.703113505257009e+24
2,20,5.502545331089747e+23,2.7031052781664184e+24
3,30,5.4856242253442185e+23,2.703070689980732e+24
4,40,5.4524737771986436e+23,2.702989341288583e+24
5,50,5.443274848925345e+23,2.702816989866469e+24
6,60,5.460230525012276e+23,2.7025226496915567e+24
7,70,5.497456191526601e+23,2.702124024056583e+24
8,80,5.493482076712587e+23,2.70165450057545e+24
9,90,5.5156897939965074e+23,2.700953366751176e+24
10,100,5.51685569523437e+23,2.700237430579133e+24
11,110,5.4760779674116064e+23,2.699496413783798e+24
12,120,5.457405026032783e+23,2.698247732341987e+24
13,130,5.4899796537792365e+23,2.6971408841251256e+24
14,140,5.4638590710822086e+23,2.696427626396987e+24
15,150,5.490953047116665e+23,2.694759187925392e+24
16,160,5.4887450405105856e+23,2.6932810523934695e+24
17,170,5.4863356513086667e+23,2.6924144256202205e+24
18,180,5.384777980437112e+23,2.690771787941599e+24
19,190,5.415792151114793e+23,2.689098876775099e+24
20,200,5.4887271160013816e+23,2.6879690541670665e+24
21,210,5.485011865831324e+23,2.685671543930244e+24
22,220,5.430014621929839e+23,2.6854146417306416e+24
23,230,5.4797724153117304e+23,2.683307595166158e+24
24,240,5.412447124300352e+23,2.680338396621725e+24
25,250,5.466308326415001e+23,2.6792162689238256e+24
26,260,5.43742460567275e+23,2.678434181773993e+24
27,270,5.432907060659278e+23,2.67696998252778e+24
28,280,5.4442226935318665e+23,2.67331000107385e+24
29,290,5.398840367345553e+23,2.6721913979107303e+24
30,300,5.435716330659741e+23,2.6733508479490523e+24
31,310,5.4274708148269805e+23,2.671361624462212e+24
32,320,5.4111966367386994e+23,2.6706617871059174e+24
33,330,5.4043728032654535e+23,2.670767961991134e+24
34,340,5.39510658635576e+23,2.667050456211484e+24
35,350,5.407169808859185e+23,2.6655227351209695e+24
36,360,5.41481331252347e+23,2.66380066880996e+24
37,370,5.444828048836358e+23,2.664683918853983e+24
38,380,5.401664542933891e+23,2.6661023610945135e+24
39,390,5.3442759205910257e+23,2.663327147054266e+24
40,400,5.4365991692891925e+23,2.657575081353155e+24
41,410,5.378805477866791e+23,2.661604525839718e+24
42,420,5.3821400818034454e+23,2.660381715114485e+24
43,430,5.381521356610786e+23,2.6593798724401287e+24
44,440,5.403060868546378e+23,2.6590190268529934e+24
45,450,5.3868510471250945e+23,2.658607243682471e+24
46,460,5.396789929538702e+23,2.6537630783129706e+24
47,470,5.376500984427241e+23,2.6519943577244236e+24
48,480,5.3912547656066416e+23,2.654113474422174e+24
49,490,5.3724222924758205e+23,2.656036447240757e+24
