i,j
320,340
862,76
703,643
440,616
440,842
504,56
72,710
642,100
96,702
116,826
188,320
496,156
586,56
50,724
760,818
600,858
170,826
120,528
440,528
112,440
705,348
858,842
894,826
368,760
50,124
218,643
144,276
398,792
398,276
24,56
398,842
368,528
300,56
188,826
586,410
862,724
100,642
218,591
48,410
368,76
218,410
233,826
818,528
218,276
68,842
634,724
191,842
705,528
428,208
170,56
470,156
24,410
634,682
703,804
604,76
352,842
188,392
768,566
440,112
242,842
112,842
860,50
170,724
170,124
398,616
591,566
586,792
12,360
446,276
70,191
100,724
398,784
428,440
780,52
818,792
504,392
100,826
788,528
887,410
598,156
233,804
144,56
70,276
504,76
170,392
512,364
398,528
233,440
516,724
170,188
266,156
384,276
31,203
188,484
400,682
404,528
705,724
188,276
404,842
524,842
818,410
760,724
144,392
31,276
188,344
404,834
120,842
288,528
192,862
388,124
604,170
760,12
807,300
233,208
860,156
12,788
192,724
760,434
604,410
887,458
384,56
512,702
446,344
112,156
188,558
818,422
222,340
428,233
604,528
414,682
496,842
716,894
48,392
266,780
188,222
188,591
188,203
591,276
68,170
100,40
434,40
233,528
504,156
400,760
428,643
242,36
180,842
818,300
591,410
233,842
795,31
598,276
96,458
388,826
384,826
604,218
442,300
352,724
50,392
352,208
414,704
516,826
442,156
104,156
100,807
188,340
858,32
320,188
512,784
780,328
104,826
68,862
320,558
504,702
414,764
52,320
854,768
218,724
442,40
192,643
887,702
31,643
858,276
266,392
508,710
516,842
51,826
48,834
634,608
860,804
288,276
417,784
48,404
44,724
384,566
51,376
442,620
740,842
144,643
716,826
894,682
422,760
31,376
512,554
214,332
104,392
404,586
768,466
50,752
320,484
84,842
470,344
340,222
686,466
51,56
218,392
894,710
446,826
100,528
112,76
144,344
591,862
218,222
894,834
748,716
100,643
384,288
384,226
384,643
422,368
268,792
748,508
591,56
591,188
328,842
196,300
795,792
422,682
400,784
780,124
120,156
196,276
591,222
70,705
512,682
591,340
218,528
266,410
788,40
48,826
233,56
384,854
31,268
478,392
324,410
788,12
96,360
196,376
598,826
768,854
430,616
328,124
242,826
48,784
50,702
112,208
31,792
50,40
598,360
288,392
214,124
192,156
508,724
96,554
558,222
116,392
887,392
112,348
50,208
834,392
144,784
48,764
780,740
222,188
858,156
368,792
120,826
268,300
887,682
470,410
422,784
591,392
384,616
478,724
104,276
860,364
116,702
384,233
428,528
191,300
328,826
788,842
716,392
422,792
716,276
144,528
504,484
191,430
222,558
470,392
231,262
417,643
780,214
591,214
716,528
288,842
860,792
191,826
768,528
50,344
788,792
388,156
858,484
116,704
418,764
470,348
340,320
388,276
320,591
694,56
498,642
191,470
400,376
51,643
426,710
591,124
112,760
368,364
288,792
860,392
368,392
400,156
508,276
858,124
68,604
430,300
428,246
690,826
288,56
120,56
404,276
268,643
352,392
218,56
854,288
834,528
191,348
48,480
191,392
324,724
24,360
834,404
740,56
858,826
31,364
634,512
352,620
860,398
340,276
214,826
288,724
231,276
140,56
858,724
795,842
404,646
422,842
807,842
404,818
780,484
48,458
858,152
144,462
388,528
222,826
860,842
72,764
454,842
48,36
72,716
598,842
634,826
324,842
858,764
860,410
104,458
31,842
762,348
44,616
591,218
218,152
204,854
480,450
218,388
807,191
400,392
598,608
24,392
434,528
788,504
288,204
324,643
144,760
800,404
470,56
498,276
716,156
144,124
214,410
780,60
454,710
404,180
404,4
116,124
634,554
104,702
498,804
400,12
104,50
882,36
266,620
214,528
340,124
31,300
512,826
858,528
762,643
768,288
591,616
266,702
598,702
480,276
204,156
887,608
795,276
686,384
894,392
428,804
887,842
31,191
320,410
780,862
780,826
562,566
434,56
894,180
44,320
178,780
686,724
288,804
320,124
417,398
268,760
324,372
598,554
600,170
470,434
434,191
450,276
51,842
646,360
430,842
324,56
400,364
422,414
600,842
180,246
418,704
512,724
24,152
462,842
780,308
780,662
178,76
800,528
68,32
275,616
204,466
788,616
470,792
120,276
340,56
508,620
422,400
434,504
446,528
428,616
268,795
894,764
470,724
70,40
762,792
400,422
716,454
44,600
368,300
222,591
659,842
768,204
690,682
558,188
748,410
748,826
600,724
807,528
20,724
454,276
478,56
214,56
24,276
598,410
598,764
8,300
214,276
834,276
716,72
422,364
368,410
340,616
196,440
404,231
214,724
320,276
4,842
858,600
450,480
84,826
780,724
120,410
352,566
887,512
583,764
44,484
446,124
68,152
268,826
478,276
320,643
480,56
288,156
120,148
508,826
231,392
716,842
795,642
858,392
51,276
400,458
894,410
834,56
222,484
558,340
242,392
834,710
686,270
584,616
352,56
31,724
795,398
52,842
894,156
324,826
324,276
268,724
231,682
508,454
214,392
196,616
496,643
498,112
178,56
222,276
422,12
860,56
120,266
795,616
340,484
44,702
508,748
600,152
324,804
96,826
508,528
498,842
690,764
800,826
454,826
422,818
116,528
807,826
480,724
340,188
340,826
320,214
192,214
716,508
320,682
430,156
352,752
466,702
44,218
860,276
328,388
795,364
558,484
328,620
178,620
60,752
516,156
262,231
496,702
242,554
496,36
894,818
316,392
68,826
686,204
686,478
31,762
120,710
44,124
268,804
807,792
860,417
340,724
716,724
52,826
266,826
340,528
196,792
516,178
446,724
524,276
196,528
288,124
562,392
192,276
807,56
31,40
116,724
466,764
533,76
214,246
800,710
340,558
340,392
320,84
516,276
508,716
268,51
795,300
516,84
231,842
120,780
480,528
624,702
894,56
116,156
454,528
44,826
320,528
686,324
894,528
686,854
854,156
478,643
4,586
