i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,270900.0,185441.389,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
156,842,271000.0,760825.747,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
156,842,300490.0,2482.614,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
156,842,710812.0,0.007,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
156,842,847120.0,218674.442,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
156,842,852520.0,68046.276,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
156,842,854219.0,953.809,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
156,842,870323.0,680.221,185441.389,760825.747,0.007,953.809,2482.614,680.221,68046.276,0.0,218674.442,0.0
124,842,270900.0,116975595.139,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,271000.0,12851040.256,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,271121.0,17632919.674,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,300490.0,31548.415,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,710812.0,48.536,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,847120.0,2087.239,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,852520.0,1396.534,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,854219.0,18.421,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
124,842,870323.0,1401550.646,116975595.139,12851040.256,48.536,18.421,31548.415,1401550.646,1396.534,17632919.674,2087.239,0.0
156,344,271000.0,4929043.325,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
156,344,271121.0,2092579.424,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
156,344,300490.0,13418.057,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
156,344,710812.0,269.705,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
156,344,847120.0,126976.66,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
156,344,852520.0,320018.826,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
156,344,854219.0,16816.824,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
156,344,870323.0,57.893,0.0,4929043.325,269.705,16816.824,13418.057,57.893,320018.826,2092579.424,126976.66,0.0
484,842,270900.0,47969836.128,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,271000.0,2638706.356,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,271111.0,81.056,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,271121.0,3294.456,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,300490.0,44646.058,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,710812.0,267.674,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,847120.0,9780.577,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,852520.0,4305.316,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,854219.0,50.35,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
484,842,870323.0,1087046.635,47969836.128,2638706.356,267.674,50.35,44646.058,1087046.635,4305.316,3294.456,9780.577,81.056
842,124,270900.0,3524073.218,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,271000.0,11749473.499,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,271111.0,180795.606,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,271121.0,5467876.874,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,300490.0,21269.379,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,710812.0,35.267,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,847120.0,9021.687,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,852520.0,1012.144,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,854219.0,82.79,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
842,124,870323.0,517791.413,3524073.218,11749473.499,35.267,82.79,21269.379,517791.413,1012.144,5467876.874,9021.687,180795.606
