i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900.0,79538649.331,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,271000.0,14438210.616,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,300490.0,35015.453,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,847330.0,10120.64,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,852520.0,3597.7,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,854211.0,1385.92,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,870323.0,554643.974,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,870324.0,1547847.182,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,870332.0,43.773,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
124,842,870899.0,596324.13,79538649.331,14438210.616,554643.974,1385.92,10120.64,35015.453,3597.7,1547847.182,43.773,596324.13
842,124,270900.0,1467612.548,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,271000.0,2779190.197,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,300490.0,35607.994,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,847330.0,21017.726,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,852520.0,3434.595,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,854211.0,2965.121,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,870323.0,528120.295,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,870324.0,260345.832,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,870332.0,312.457,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
842,124,870899.0,530005.418,1467612.548,2779190.197,528120.295,2965.121,21017.726,35607.994,3434.595,260345.832,312.457,530005.418
484,842,270900.0,74019195.471,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,271000.0,5974954.341,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,300490.0,44991.216,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,847330.0,14683.264,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,852520.0,9000.249,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,854211.0,228.872,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,870323.0,316104.331,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,870324.0,334249.1,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,870332.0,22599.798,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
484,842,870899.0,231243.686,74019195.471,5974954.341,316104.331,228.872,14683.264,44991.216,9000.249,334249.1,22599.798,231243.686
156,842,270900.0,600153.052,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,271000.0,292657.098,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,300490.0,851.043,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,847330.0,293258.728,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,852520.0,23237.613,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,854211.0,881.567,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,870323.0,24.191,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,870324.0,11.013,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
156,842,870899.0,47475.7,600153.052,292657.098,24.191,881.567,293258.728,851.043,23237.613,11.013,0.0,47475.7
392,842,271000.0,442488.376,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,300490.0,20557.487,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,847330.0,78708.341,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,852520.0,1899.666,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,854211.0,1758.364,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,870323.0,1062841.223,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,870324.0,963033.339,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,870332.0,135.346,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
392,842,870899.0,324119.95,0.0,442488.376,1062841.223,1758.364,78708.341,20557.487,1899.666,963033.339,135.346,324119.95
842,484,270900.0,129.219,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,271000.0,6193599.412,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,300490.0,7075.456,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,847330.0,44416.345,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,852520.0,3416.9,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,854211.0,2988.92,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,870323.0,118532.692,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,870324.0,88633.312,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,870332.0,2229.89,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
842,484,870899.0,248095.44,129.219,6193599.412,118532.692,2988.92,44416.345,7075.456,3416.9,88633.312,2229.89,248095.44
156,344,270900.0,3.38,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,271000.0,1080351.991,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,300490.0,11839.751,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,847330.0,276797.509,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,852520.0,10292.798,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,854211.0,3538.138,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,870323.0,587.134,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,870324.0,1312.162,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,344,870899.0,6282.874,3.38,1080351.991,587.134,3538.138,276797.509,11839.751,10292.798,1312.162,0.0,6282.874
156,392,270900.0,496961.382,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,271000.0,1150082.709,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,300490.0,2230.393,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,847330.0,78182.273,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,852520.0,2125.409,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,854211.0,1079.799,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,870323.0,313.604,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,870324.0,124.858,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,870332.0,3.369,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
156,392,870899.0,36745.248,496961.382,1150082.709,313.604,1079.799,78182.273,2230.393,2125.409,124.858,3.369,36745.248
276,842,270900.0,34512.5,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,271000.0,3491364.165,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,300490.0,6179.852,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,847330.0,1838.775,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,852520.0,1267.996,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,854211.0,208.028,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,870323.0,863343.094,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,870324.0,409367.722,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,870332.0,46675.709,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
276,842,870899.0,80568.75,34512.5,3491364.165,863343.094,208.028,1838.775,6179.852,1267.996,409367.722,46675.709,80568.75
392,156,270900.0,4456.809,4456.809,1952030.565,96950.986,4221.285,25489.429,739.516,1263.463,17513.802,98.875,74725.973
392,156,271000.0,1952030.565,4456.809,1952030.565,96950.986,4221.285,25489.429,739.516,1263.463,17513.802,98.875,74725.973
392,156,300490.0,739.516,4456.809,1952030.565,96950.986,4221.285,25489.429,739.516,1263.463,17513.802,98.875,74725.973
392,156,847330.0,25489.429,4456.809,1952030.565,96950.986,4221.285,25489.429,739.516,1263.463,17513.802,98.875,74725.973
