i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
842,392,870899.0,28940.0,289178.849,141796.839,7191.369,1845375.505,6094.277,65525.735,28940.0,3155.946,744.999,601.334
842,484,270900.0,36492.242,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,271000.0,5000355.245,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,847192.0,23815.812,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,847193.0,1915.812,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,847330.0,48358.376,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,854211.0,22060.976,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,870322.0,1023.0,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,870323.0,102897.064,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,870324.0,106389.184,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
842,484,870899.0,255351.104,36492.242,102897.064,22060.976,5000355.245,48358.376,106389.184,255351.104,23815.812,1915.812,1023.0
528,276,270900.0,61471.074,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,271000.0,22083207.397,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,847192.0,17288.732,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,847193.0,2902.654,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,847330.0,6121.51,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,854211.0,338.266,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,870322.0,2950.434,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,870323.0,55832.753,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,870324.0,206.341,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
528,276,870899.0,17314.572,61471.074,55832.753,338.266,22083207.397,6121.51,206.341,17314.572,17288.732,2902.654,2950.434
156,344,271000.0,1496079.117,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,847192.0,63478.3,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,847193.0,7326.603,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,847330.0,0.0,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,854211.0,511.068,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,870322.0,11.962,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,870323.0,347.585,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,870324.0,104.393,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
156,344,870899.0,1535.812,0.0,347.585,511.068,1496079.117,0.0,104.393,1535.812,63478.3,7326.603,11.962
276,842,271000.0,807054.764,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,842,847192.0,1476.0,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,842,847193.0,338.125,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,842,847330.0,3141.625,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,842,854211.0,130.749,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
