i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,270900.0,218704.474,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
156,842,271000.0,532985.39,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
156,842,300490.0,2457.079,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
156,842,710812.0,0.005,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
156,842,847120.0,182539.199,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
156,842,852520.0,29479.345,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
156,842,854211.0,1315.245,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
156,842,870323.0,269.358,218704.474,532985.39,2457.079,0.005,269.358,1315.245,29479.345,0.0,182539.199,0.0
124,842,270900.0,123129413.761,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,271000.0,15888144.971,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,271121.0,37579052.144,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,300490.0,40937.167,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,710812.0,78.104,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,847120.0,2410.763,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,852520.0,2477.514,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,854211.0,1100.116,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
124,842,870323.0,1192057.067,123129413.761,15888144.971,40937.167,78.104,1192057.067,1100.116,2477.514,37579052.144,2410.763,0.0
484,842,270900.0,54658355.375,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,271000.0,5192083.584,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,271111.0,86.008,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,271121.0,50574.794,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,300490.0,42889.152,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,710812.0,141.66,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,847120.0,7341.355,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,852520.0,11586.459,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
484,842,854211.0,3041.38,54658355.375,5192083.584,42889.152,141.66,1117250.476,3041.38,11586.459,50574.794,7341.355,86.008
