i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900.0,1856899.76,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,271000.0,21799278.229,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,300490.0,22692.161,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,847193.0,530.783,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,847330.0,26507.227,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,852520.0,4775.124,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,854211.0,2888.377,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,870323.0,567847.81,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,870324.0,54140.016,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
124,842,880240.0,139.891,1856899.76,567847.81,21799278.229,26507.227,2888.377,54140.016,22692.161,4775.124,139.891,530.783
842,124,270900.0,680091.537,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,271000.0,3727187.317,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,300490.0,38550.507,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,847193.0,3579.252,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,847330.0,29356.16,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,852520.0,3407.799,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,854211.0,3086.555,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,870323.0,530994.405,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,870324.0,254464.89,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
842,124,880240.0,2131.52,680091.537,530994.405,3727187.317,29356.16,3086.555,254464.89,38550.507,3407.799,2131.52,3579.252
484,842,270900.0,63964505.635,63964505.635,734995.143,3021299.517,31824.401,758.072,573733.103,3942.452,51162.24,52.001,3777.291
484,842,271000.0,3021299.517,63964505.635,734995.143,3021299.517,31824.401,758.072,573733.103,3942.452,51162.24,52.001,3777.291
484,842,300490.0,3942.452,63964505.635,734995.143,3021299.517,31824.401,758.072,573733.103,3942.452,51162.24,52.001,3777.291
484,842,847193.0,3777.291,63964505.635,734995.143,3021299.517,31824.401,758.072,573733.103,3942.452,51162.24,52.001,3777.291
484,842,847330.0,31824.401,63964505.635,734995.143,3021299.517,31824.401,758.072,573733.103,3942.452,51162.24,52.001,3777.291
484,842,852520.0,51162.24,63964505.635,734995.143,3021299.517,31824.401,758.072,573733.103,3942.452,51162.24,52.001,3777.291
