i,j
180,156
144,56
504,156
233,768
894,710
586,410
807,300
368,40
31,364
48,784
634,586
688,705
634,156
716,508
620,616
512,710
266,780
591,320
31,826
50,528
598,156
686,466
100,724
191,348
620,208
68,32
214,332
300,56
218,643
894,410
400,784
384,276
68,392
188,276
48,392
586,528
504,528
634,608
116,276
188,826
44,616
586,56
470,344
178,780
288,826
446,156
442,682
768,566
31,360
112,76
887,784
795,792
788,528
31,268
100,40
470,826
100,807
233,826
740,124
31,376
112,398
780,214
352,372
508,724
188,320
442,300
104,156
288,528
44,702
404,528
178,24
218,724
48,450
860,156
188,591
591,410
446,344
428,208
384,854
116,826
196,826
688,191
388,124
504,702
72,716
688,40
504,392
384,466
591,170
304,208
591,276
100,616
233,528
266,458
780,124
188,558
384,724
404,834
70,40
894,764
233,208
340,222
780,276
428,616
688,642
188,484
442,208
512,682
384,826
48,410
442,156
780,52
591,214
858,484
442,616
104,392
780,170
430,458
188,340
788,12
31,528
894,180
504,620
428,246
368,620
218,276
634,554
894,156
188,56
340,320
320,558
422,784
191,470
116,704
191,826
48,826
780,528
320,188
598,276
214,56
218,528
688,348
780,484
807,100
533,188
516,124
50,792
780,328
533,76
188,222
894,682
591,188
516,156
512,702
428,376
68,862
417,643
498,642
188,702
422,682
120,528
266,178
470,392
48,634
70,348
512,634
352,724
112,233
780,826
388,528
788,792
887,410
894,818
504,643
50,40
688,100
68,604
222,558
218,222
214,156
50,156
388,826
591,192
50,392
233,804
144,643
324,643
834,710
788,504
48,702
218,320
384,56
204,566
600,152
178,288
96,156
144,784
50,752
508,826
858,276
214,246
478,384
591,222
512,364
340,276
352,392
780,740
116,124
417,398
178,528
418,704
191,584
51,643
404,586
191,643
68,410
516,724
688,300
498,804
512,826
268,792
144,392
430,616
51,887
192,724
226,124
218,56
180,246
352,208
196,702
834,156
584,616
516,24
226,76
800,784
591,604
288,804
48,528
807,191
188,458
807,724
428,112
454,716
807,56
31,124
51,276
478,724
496,124
428,528
558,222
266,392
446,276
600,276
860,348
591,484
178,410
233,616
400,392
688,826
288,276
858,156
214,826
834,784
887,710
288,56
426,56
858,862
328,124
591,340
31,392
858,724
384,288
116,392
548,764
90,156
96,702
508,454
887,682
860,392
882,36
48,834
470,410
180,894
320,124
384,124
191,499
446,826
191,752
51,528
404,784
499,688
180,76
762,643
716,826
68,170
470,191
68,124
144,528
196,56
795,268
340,484
116,724
214,724
422,368
222,188
324,724
112,498
854,156
694,56
48,818
780,410
591,704
400,376
52,705
400,156
740,56
600,643
508,276
231,784
516,276
214,484
96,554
268,31
762,792
324,276
72,124
478,276
834,404
178,276
404,818
268,124
422,792
242,36
422,566
64,344
894,392
104,458
422,818
768,204
400,12
120,56
584,300
788,40
795,398
598,410
214,410
384,686
178,76
858,826
887,414
136,76
120,226
68,56
800,404
834,276
231,276
508,716
716,276
262,682
404,180
422,414
104,276
320,591
795,642
430,276
834,528
214,124
887,276
716,894
470,246
288,392
242,826
858,643
480,450
266,724
266,764
324,410
598,608
226,276
417,4
558,340
716,392
498,276
328,826
516,178
288,458
144,364
858,152
288,854
478,392
196,642
400,818
268,51
340,56
214,276
8,300
352,620
96,764
70,499
422,400
116,702
222,276
288,724
860,417
72,156
600,604
400,422
600,724
533,124
858,528
68,826
144,702
120,156
340,558
340,124
768,288
422,826
51,56
404,276
807,70
324,372
422,634
716,72
120,566
860,410
144,344
120,180
716,528
454,710
226,384
320,214
800,646
533,170
800,180
268,804
178,120
894,826
222,591
404,646
894,716
120,148
144,124
222,724
214,392
558,188
690,682
470,484
860,276
478,56
226,528
20,724
600,862
352,566
120,826
204,466
52,780
499,348
196,566
320,276
44,704
268,826
120,266
470,458
498,112
858,764
266,804
192,76
516,410
352,56
96,458
417,860
499,300
690,826
28,616
4,586
417,156
686,270
807,826
400,414
834,180
516,376
148,392
426,414
768,466
324,156
418,156
558,124
44,300
800,528
480,56
422,56
400,634
860,300
266,276
352,643
834,392
533,604
807,528
450,276
104,344
834,454
686,724
470,792
404,894
558,484
516,528
748,528
226,178
388,643
268,643
266,702
320,724
320,152
807,8
104,410
454,276
320,410
598,764
242,702
480,784
222,214
716,156
800,56
204,156
268,276
807,705
148,156
480,724
320,528
508,156
498,616
192,84
388,276
480,710
268,100
762,203
388,156
422,300
196,528
324,804
231,156
558,320
231,682
600,858
800,276
51,268
533,887
598,826
104,704
418,410
340,504
60,276
795,50
533,484
116,528
562,392
887,702
795,643
834,826
68,591
68,156
320,392
598,724
768,276
70,203
304,392
533,826
68,528
192,643
44,724
690,784
84,826
686,478
44,124
340,724
480,276
52,388
340,528
454,826
8,688
116,56
388,352
268,300
598,554
222,484
70,616
496,643
196,792
242,554
887,818
748,826
508,894
466,686
242,392
231,392
600,156
533,682
104,826
584,276
72,56
196,376
478,643
266,504
192,276
72,276
807,792
768,854
116,156
8,276
324,56
96,826
140,56
