i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,270900.0,5.09,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,271000.0,1008878.832,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,271111.0,23.201,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,300490.0,2607.292,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,710812.0,0.006,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,847120.0,193502.154,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,852520.0,38994.574,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,854219.0,1701.046,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,870323.0,1116.6,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
156,842,880240.0,247.749,5.09,1008878.832,1701.046,0.006,2607.292,1116.6,38994.574,23.201,193502.154,247.749
124,842,270900.0,107897087.078,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,271000.0,11081403.565,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,271111.0,46180.349,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,300490.0,46922.858,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,710812.0,81.893,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,847120.0,1983.208,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,852520.0,341.57,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,854219.0,1086.748,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,870323.0,1701692.995,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
124,842,880240.0,2773.366,107897087.078,11081403.565,1086.748,81.893,46922.858,1701692.995,341.57,46180.349,1983.208,2773.366
484,842,270900.0,45333081.775,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
484,842,271000.0,1651597.33,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
484,842,300490.0,65272.355,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
484,842,710812.0,226.194,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
484,842,847120.0,12298.174,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
484,842,852520.0,3320.041,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
484,842,854219.0,1777.912,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
484,842,870323.0,1166184.372,45333081.775,1651597.33,1777.912,226.194,65272.355,1166184.372,3320.041,0.0,12298.174,0.0
156,344,271000.0,6058782.449,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
156,344,300490.0,13971.766,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
156,344,710812.0,273.573,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
156,344,847120.0,73284.513,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
156,344,852520.0,45031.02,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
156,344,854219.0,18544.472,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
156,344,870323.0,204.124,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
156,344,880240.0,5.673,0.0,6058782.449,18544.472,273.573,13971.766,204.124,45031.02,0.0,73284.513,5.673
842,124,270900.0,14531793.222,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,271000.0,11126448.392,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,271111.0,255202.419,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,300490.0,21566.441,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,710812.0,8.808,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,847120.0,10443.778,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,852520.0,1037.405,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,854219.0,1379.791,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,870323.0,601806.077,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,124,880240.0,2815.179,14531793.222,11126448.392,1379.791,8.808,21566.441,601806.077,1037.405,255202.419,10443.778,2815.179
842,484,270900.0,0.0,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,271000.0,15168047.947,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,271111.0,3386.461,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,300490.0,7169.918,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,710812.0,0.699,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,847120.0,3917.039,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,852520.0,1400.683,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,854219.0,3129.412,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,870323.0,145590.968,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
842,484,880240.0,199.75,0.0,15168047.947,3129.412,0.699,7169.918,145590.968,1400.683,3386.461,3917.039,199.75
156,392,270900.0,185948.48,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,271000.0,334682.71,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,300490.0,1777.016,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,710812.0,0.017,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,847120.0,39278.025,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,852520.0,13865.191,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,854219.0,1114.341,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,870323.0,1963.759,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
156,392,880240.0,52.945,185948.48,334682.71,1114.341,0.017,1777.016,1963.759,13865.191,0.0,39278.025,52.945
410,156,270900.0,1.08,1.08,6464399.49,3035.195,0.109,2322.496,137485.081,50.168,0.0,135.186,58.694
410,156,271000.0,6464399.49,1.08,6464399.49,3035.195,0.109,2322.496,137485.081,50.168,0.0,135.186,58.694
410,156,300490.0,2322.496,1.08,6464399.49,3035.195,0.109,2322.496,137485.081,50.168,0.0,135.186,58.694
