i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,271000.0,1063504.372,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
156,842,300290.0,4116.859,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
156,842,300490.0,7881.757,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
156,842,847193.0,130566.187,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
156,842,847330.0,413380.095,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
156,842,852520.0,104023.691,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
156,842,854211.0,2739.473,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
156,842,870323.0,80324.07,0.0,1063504.372,2739.473,104023.691,7881.757,80324.07,0.0,413380.095,4116.859,130566.187
484,842,270900.0,33011238.309,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,271000.0,3421036.701,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,300290.0,753.746,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,300490.0,84456.833,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,710812.0,182.472,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,847193.0,4893.22,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,847330.0,13637.605,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,852520.0,2811.274,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,854211.0,1169.133,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
484,842,870323.0,1653901.433,33011238.309,3421036.701,1169.133,2811.274,84456.833,1653901.433,182.472,13637.605,753.746,4893.22
124,842,270900.0,143017209.887,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,271000.0,23952901.431,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,300290.0,4160.406,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,300490.0,29091.551,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,710812.0,54.331,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,847193.0,61.178,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,847330.0,2111.397,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,852520.0,2654.08,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,854211.0,1153.418,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
124,842,870323.0,1084427.999,143017209.887,23952901.431,1153.418,2654.08,29091.551,1084427.999,54.331,2111.397,4160.406,61.178
156,344,271000.0,11939265.073,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,300290.0,43.035,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,300490.0,13687.714,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,710812.0,25.516,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,847193.0,27520.731,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,847330.0,188933.174,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,852520.0,67769.979,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,854211.0,29740.487,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
156,344,870323.0,325.49,0.0,11939265.073,29740.487,67769.979,13687.714,325.49,25.516,188933.174,43.035,27520.731
842,124,270900.0,26650445.376,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,271000.0,22571954.542,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,300290.0,13725.219,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,300490.0,42130.247,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,710812.0,15.196,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,847193.0,4180.497,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,847330.0,0.0,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,852520.0,0.0,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,854211.0,0.0,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,124,870323.0,311408.33,26650445.376,22571954.542,0.0,0.0,42130.247,311408.33,15.196,0.0,13725.219,4180.497
842,484,270900.0,86107.563,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,271000.0,55891077.435,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,300290.0,2136.714,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,300490.0,6311.112,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,710812.0,1.618,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,847193.0,1059.491,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,847330.0,2845.928,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,852520.0,0.0,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,854211.0,0.0,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
842,484,870323.0,122562.055,86107.563,55891077.435,0.0,0.0,6311.112,122562.055,1.618,2845.928,2136.714,1059.491
156,392,271000.0,949394.007,0.0,949394.007,1805.245,21013.638,1786.153,1207.368,0.012,114663.298,159.405,26039.699
