iso_code,pop,cpi,emp
533,102050.0,4.31629742195207,6.4842962878717
4,30117411.0,11.8041858089129,11.51
24,24220660.0,13.4824679218512,7.36
8,2905195.0,3.42912324722164,13.48
20,83748.0,4.9798184758029045,6.4842962878717
784,8946778.0,0.877346595685083,2.23
32,41261490.0,4.9798184758029045,7.18
51,2876536.0,7.6500080785929,18.44
16,55755.0,4.9798184758029045,6.4842962878717
28,89250.0,3.45674967234602,6.4842962878717
36,22340024.0,3.30385015608744,5.08
40,8391643.0,3.28657914875376,4.56
31,9173082.0,7.85833333333332,5.42
108,8958406.0,9.59216605979671,1.7
56,11038264.0,3.53208210722744,7.14
204,9460829.0,2.70423907747279,2.65
854,16081915.0,2.7597672485453,5.12
50,149273134.0,11.3951651552399,3.71
100,7348328.0,4.21990346601875,11.26
48,1278153.0,-0.400040697488052,1.18
44,359583.0,3.19878141660321,14.52
70,3661173.0,3.67124999999999,27.58
112,9473172.0,53.2286983118173,6.08
84,330236.0,4.9798184758029045,8.4
60,64564.0,4.9798184758029045,6.4842962878717
68,10212951.0,9.88446419823887,2.22
76,197514541.0,6.63644962213085,6.92
52,282987.0,9.43220240177216,11.19
96,393687.0,0.137911563169595,6.64
64,693297.0,8.84898569946802,3.23
72,2015406.0,8.45987233408587,17.85
140,4418639.0,1.19447572449849,4.38
124,34339328.0,2.91213508872355,7.51
152,17233584.0,3.34121694259299,7.34
156,1344130000.0,5.55389892257492,4.5
384,21028652.0,4.91243395052462,6.96
120,20906392.0,2.93969946305094,3.97
180,66755151.0,15.316515913949,4.22
178,4394842.0,1.75958704273802,11.89
170,45662747.0,3.41758959146978,10.11
174,706578.0,1.84266300756184,6.98
132,498858.0,4.47388342165027,10.93
188,4633086.0,4.87799830970698,10.14
192,11236671.0,4.9798184758029045,3.18
531,150831.0,2.33253152562139,6.4842962878717
136,57877.0,1.32543575779667,6.4842962878717
196,1124837.0,3.28944939564212,7.86
203,10496088.0,1.91721913635547,6.71
276,80274983.0,2.07517452479837,5.82
262,853671.0,5.06871394777984,11.51
212,70912.0,1.13123136526474,6.4842962878717
208,5570572.0,2.75868226051246,7.77
214,9813219.0,5.79676809206526,6.09
12,36661438.0,4.52421150505276,9.96
218,15243885.0,4.47453265795836,3.46
818,84529251.0,10.0649259874818,11.85
724,46742697.0,3.19614641224106,21.39
233,1327439.0,4.9819013145361,12.33
231,90139928.0,32.0147888188887,2.3
246,5388272.0,3.41680754255211,7.78
242,863451.0,7.27811782708491,4.41
583,103448.0,5.08259403890365,6.4842962878717
266,1684629.0,1.2633170783742,20.38
826,63258810.0,3.85611244682819,8.04
268,3756441.0,8.54293333333334,19.63
288,25387713.0,8.72683683123394,5.62
324,10420459.0,21.3504664236733,4.45
270,1848142.0,4.79588266183113,9.41
624,1562996.0,5.04610226320203,3.08
226,986861.0,4.80538922155687,8.42
300,11104899.0,3.3298640617472,17.87
308,106786.0,3.03347280334727,6.4842962878717
304,56890.0,4.9798184758029045,6.4842962878717
320,14521515.0,6.21412393067094,3.12
316,159690.0,4.9798184758029045,13.3
328,752029.0,4.97773563706971,12.35
344,7071600.0,5.27656106753591,3.42
340,8480670.0,6.76227957314765,4.48
191,4280622.0,2.27272727272727,13.68
332,10100320.0,6.33279483849046,14.7
348,9971727.0,3.92992098935075,11.03
360,245115988.0,5.3560477898215,5.15
372,4580084.0,2.5571888318692,15.35
364,74634959.0,26.2933856738609,12.45
368,30725305.0,5.80145537085299,8.15
352,319014.0,4.00102664343116,7.03
376,7765800.0,3.47857270934193,7.14
388,2825932.0,7.55585646580907,12.7
400,7662858.0,4.16244162927781,12.9
392,127833000.0,-0.267633600966946,4.52
398,16557202.0,8.42488761919795,5.39
404,43178270.0,14.0224939638475,2.86
417,5514600.0,16.6363262731496,8.53
116,14541421.0,5.47858730411899,0.58
296,104735.0,1.49740979875968,6.4842962878717
659,49442.0,5.83516519570853,6.4842962878717
410,49936638.0,4.02584624959385,3.4
414,3168054.0,4.8394034987095,2.07
418,6347564.0,7.56898856109973,0.71
422,5202022.0,4.97148571692381,6.39
430,4017446.0,8.48816751849397,2.24
434,6247438.0,15.5184815317562,19.02
662,175538.0,2.76940794144096,18.86
144,20398496.0,6.7167684358854,4.12
426,2003793.0,5.03663052101557,26.04
440,3028115.0,4.13027562645087,15.39
442,518347.0,3.4106834106834,4.9
428,2059709.0,4.37073559939221,16.21
446,550833.0,5.8044680014079,2.56
504,32781860.0,0.906924909691796,8.91
