i,j
124,842
156,842
842,124
484,842
156,344
842,484
392,842
156,392
392,156
276,842
528,276
276,826
276,528
410,156
528,56
56,276
276,40
276,56
156,410
156,276
842,392
842,156
826,842
276,724
392,410
842,276
276,616
826,276
56,528
643,528
842,826
682,842
276,156
40,276
410,842
784,392
276,643
156,826
682,392
528,826
203,276
36,392
156,528
616,276
566,842
276,203
842,528
392,344
862,842
842,410
826,372
826,528
156,702
156,643
56,826
156,124
360,392
682,410
842,702
392,764
724,276
842,76
458,702
276,752
410,392
36,156
76,842
372,842
156,36
344,156
702,344
842,56
682,156
702,156
724,620
392,276
348,276
702,360
458,842
826,56
634,392
276,348
392,702
702,458
372,826
643,804
842,36
643,276
376,842
643,112
764,842
56,842
842,344
643,156
458,392
528,842
368,842
764,392
24,156
724,826
410,344
392,528
752,276
12,842
826,724
372,56
76,32
364,156
392,36
392,826
784,410
208,276
24,842
410,702
643,792
643,616
764,156
392,643
76,156
528,724
364,392
392,458
36,410
702,842
804,643
643,246
458,156
208,752
643,842
360,842
620,724
170,842
643,826
702,36
634,410
752,208
703,276
414,392
56,724
392,360
682,702
32,76
752,826
643,398
792,276
360,702
360,156
704,842
203,703
608,156
752,842
392,124
124,826
372,276
410,276
724,842
643,392
484,124
246,643
512,156
414,410
360,410
124,392
764,702
76,528
752,246
36,842
112,643
784,764
764,344
76,276
826,752
410,643
410,484
124,156
643,348
616,826
246,276
246,752
764,458
616,203
528,752
608,842
608,392
702,392
12,724
458,764
702,704
826,156
702,410
203,616
752,528
208,826
616,643
704,392
458,410
703,203
724,56
780,842
528,616
724,528
702,764
792,826
152,156
218,842
764,36
710,842
528,643
752,56
634,702
826,124
152,842
792,784
410,360
56,442
40,842
410,704
710,826
642,276
398,156
710,392
458,36
608,344
826,643
364,410
826,784
458,528
528,208
554,36
360,458
458,360
203,826
620,276
56,616
36,554
702,608
203,40
616,528
566,76
414,842
566,724
792,643
784,364
36,826
56,752
410,826
410,591
682,764
458,344
208,842
764,360
152,392
32,156
710,276
246,842
76,392
616,804
398,643
410,458
170,862
372,724
124,484
344,842
40,203
12,528
40,348
604,842
31,842
528,40
702,276
784,702
484,276
705,276
12,124
702,826
348,642
528,156
784,512
414,702
32,842
682,710
616,752
862,156
682,724
112,528
344,826
724,504
203,528
528,203
36,702
56,643
76,862
458,276
608,702
246,826
56,156
764,704
710,156
178,842
795,804
348,40
246,528
682,784
40,826
360,764
76,152
36,764
360,36
372,528
442,276
32,152
804,792
512,392
76,643
682,528
752,643
124,276
348,826
76,56
512,410
784,156
348,703
682,608
414,156
792,724
616,348
724,792
398,528
764,826
40,616
752,616
56,792
752,724
792,842
703,616
76,484
484,724
704,36
616,724
616,56
724,643
96,392
40,643
208,528
76,724
724,616
764,528
724,484
752,156
364,724
214,842
792,642
703,348
40,724
704,156
76,826
764,410
340,842
360,276
50,842
203,348
12,792
203,643
348,203
710,72
616,703
348,616
764,276
360,528
348,643
703,40
608,276
792,368
188,842
504,724
434,276
152,76
203,56
152,528
124,410
344,702
368,410
36,784
604,156
344,458
372,392
40,642
458,784
376,56
724,300
31,376
440,643
178,156
586,842
703,826
764,608
710,784
36,458
40,705
124,528
642,792
152,410
458,826
616,40
484,76
608,410
620,24
124,56
36,360
784,586
710,528
364,710
364,300
203,724
620,826
616,208
40,703
554,842
710,516
208,724
246,156
376,344
104,764
300,276
792,528
484,170
226,842
148,842
246,616
116,842
32,528
68,76
533,842
784,368
40,528
348,528
320,842
344,704
804,818
442,56
246,724
434,842
32,724
484,392
112,804
704,702
376,275
348,842
414,528
348,724
704,276
124,76
703,643
208,616
792,56
24,710
344,276
566,276
434,724
203,842
554,392
634,764
12,76
50,276
434,300
266,842
344,528
760,368
208,246
360,724
887,156
792,300
792,682
440,428
372,156
226,724
784,682
512,764
566,620
203,752
360,826
246,56
344,360
818,724
36,344
784,458
208,156
484,528
804,616
598,36
208,392
344,410
642,348
862,218
887,764
152,484
710,56
705,191
484,862
376,528
608,528
24,124
566,384
705,40
222,842
376,276
704,458
818,842
96,360
484,826
608,764
484,156
414,586
398,376
600,76
124,36
752,36
72,826
376,826
862,702
862,724
191,70
344,608
246,208
12,826
36,276
112,428
100,300
203,642
804,112
620,842
784,56
862,76
100,276
233,246
703,528
348,804
12,56
634,784
208,643
344,764
398,804
710,724
398,364
12,620
233,643
804,842
398,792
512,784
710,894
226,156
604,124
24,76
348,56
704,410
100,792
604,152
784,634
586,784
788,276
84,566
434,156
704,608
398,826
760,276
608,458
804,276
860,804
368,124
300,196
566,710
804,398
144,842
50,826
642,100
246,233
554,156
604,392
152,276
634,724
704,826
32,858
710,410
300,100
372,36
620,528
112,616
208,56
32,276
152,724
352,528
440,276
372,752
218,604
266,156
300,842
703,724
484,152
818,276
586,4
48,682
24,528
372,124
288,710
376,156
566,826
642,826
368,724
442,826
24,724
804,348
862,826
566,392
96,410
152,604
620,56
100,642
180,156
414,826
634,56
191,276
218,152
372,458
428,440
704,764
170,218
818,682
233,752
566,528
376,792
704,116
12,788
484,533
862,276
24,152
508,528
32,862
862,528
704,528
484,32
364,702
804,400
31,724
642,528
152,124
818,392
152,68
414,818
12,410
496,156
516,710
398,642
434,826
112,826
300,826
466,710
398,40
31,203
31,360
32,484
32,604
434,620
470,760
434,76
368,392
442,528
600,32
100,56
300,792
688,70
31,528
170,528
440,616
703,642
688,276
376,724
414,360
400,368
780,388
634,156
860,643
705,643
398,860
144,826
703,842
440,233
554,826
688,499
862,152
398,276
818,826
566,288
642,804
434,528
368,156
300,642
604,276
780,724
818,410
376,124
608,826
703,56
642,724
804,682
368,528
804,498
376,76
818,528
642,40
804,100
620,702
566,430
414,50
586,826
705,688
32,818
428,233
191,705
608,484
504,76
112,76
591,862
604,862
558,842
233,428
384,528
862,170
32,600
120,724
32,364
887,710
364,144
818,792
440,208
368,76
12,504
788,724
705,616
642,842
170,604
642,643
604,724
586,276
642,616
554,410
96,36
100,688
364,784
634,554
858,76
226,392
703,752
434,788
384,842
440,826
170,826
440,752
368,40
320,222
478,156
388,842
72,710
400,842
24,826
705,348
504,842
428,643
364,504
760,682
31,152
608,56
196,300
768,566
364,276
31,826
818,400
470,276
470,702
604,76
705,70
512,842
170,152
642,300
218,591
192,156
170,276
440,112
504,56
70,191
384,276
591,410
818,56
191,40
116,344
112,276
352,276
598,392
446,842
818,760
8,566
50,724
586,156
788,826
218,170
440,804
504,826
68,410
608,360
604,528
300,8
862,56
233,440
300,724
191,688
428,752
554,360
170,214
368,702
440,842
70,688
428,276
554,276
512,458
226,410
584,208
320,340
428,826
218,862
480,826
705,203
440,528
24,604
748,710
516,826
400,682
554,458
442,752
760,792
233,842
100,643
604,170
414,784
705,826
31,410
352,826
170,724
70,276
716,710
620,752
408,156
48,784
188,156
170,136
170,484
320,484
300,528
554,702
705,642
50,56
591,842
266,178
504,276
170,76
512,682
788,434
222,320
112,156
634,586
188,528
442,724
233,276
31,792
780,484
50,124
760,818
384,566
554,764
112,440
688,643
586,410
860,50
404,800
104,156
300,807
586,792
418,764
780,528
24,276
620,76
222,340
31,124
31,643
434,40
887,392
604,410
120,842
788,56
860,792
788,842
516,124
288,528
554,682
586,724
170,376
218,643
740,124
620,40
620,616
780,52
214,332
620,458
24,784
368,620
705,703
554,344
760,422
554,608
50,528
68,842
705,528
100,724
780,214
688,807
100,807
180,894
442,842
686,466
858,32
688,705
504,528
300,643
404,826
100,40
44,616
266,780
100,826
275,376
586,528
504,586
760,400
44,702
512,702
688,40
440,724
144,276
288,826
887,784
116,276
586,344
48,842
68,32
428,208
218,724
44,842
434,792
48,634
591,218
470,156
860,398
70,705
598,156
470,344
120,156
144,56
533,188
780,740
288,804
332,842
586,682
100,616
180,56
50,792
548,764
586,392
384,288
688,191
404,834
300,292
498,643
268,792
233,208
400,784
504,702
894,818
858,276
591,320
188,591
384,854
188,344
688,642
504,156
788,12
