i,j
156,842
124,842
484,842
842,124
156,344
842,484
156,392
392,156
410,156
392,842
528,276
276,842
842,156
156,276
276,156
276,826
276,528
156,410
528,56
56,276
276,40
36,156
842,392
392,410
276,56
643,528
410,842
276,616
56,528
826,842
826,276
156,826
156,528
842,276
36,392
203,276
40,276
344,156
276,643
616,276
842,826
276,724
528,826
682,392
76,156
682,842
682,156
842,410
276,203
410,392
156,643
156,36
842,528
392,344
862,842
784,392
156,124
392,764
702,156
156,702
842,76
826,528
643,156
360,392
372,842
702,344
566,842
842,344
682,410
702,458
56,826
458,702
458,156
724,276
276,752
702,360
842,702
643,804
410,344
842,56
458,392
276,792
764,156
826,372
76,842
348,276
392,702
826,56
643,276
364,156
842,36
392,276
634,392
724,620
36,410
24,156
764,392
360,156
764,842
643,112
76,32
528,842
170,842
376,842
458,842
56,842
643,616
372,826
372,56
804,643
643,842
410,702
724,826
152,156
392,458
752,276
124,826
392,36
702,842
360,702
360,842
392,360
704,842
784,364
32,76
124,156
634,410
764,344
392,528
360,410
392,826
208,276
484,124
398,156
703,276
528,724
643,398
682,702
24,842
643,392
414,410
368,842
643,792
826,724
12,842
392,591
702,36
620,724
203,703
792,276
826,156
372,276
76,528
208,752
512,156
410,360
643,410
410,704
643,246
784,410
784,764
710,156
752,826
112,643
764,458
643,826
410,643
392,643
616,826
410,76
458,764
752,208
414,392
752,842
764,702
642,276
364,392
784,702
616,203
704,392
360,458
724,842
56,724
752,246
124,392
458,344
703,203
410,276
410,484
208,826
704,156
56,156
764,360
528,752
76,276
364,410
528,616
203,616
702,410
702,392
826,752
608,156
862,156
554,36
218,842
76,392
36,842
458,410
410,764
528,156
826,124
752,528
566,724
368,156
702,764
152,392
152,842
608,392
608,842
246,752
634,702
40,842
724,528
764,36
710,842
414,156
752,56
528,643
724,56
458,36
616,643
792,826
792,368
36,764
616,528
368,410
826,344
702,704
410,36
620,276
458,360
56,442
682,48
246,276
566,76
203,826
36,554
398,643
826,643
784,156
246,643
203,40
780,842
682,724
12,724
634,826
764,704
528,208
458,276
414,842
604,156
208,842
528,203
56,616
56,752
458,528
360,764
682,764
360,36
702,276
702,591
752,156
398,528
484,156
124,484
528,40
705,276
604,842
710,276
784,586
56,643
348,642
724,792
784,512
112,528
40,203
792,643
32,156
36,826
203,528
710,392
554,156
598,36
40,348
36,702
484,170
703,348
56,792
124,410
608,344
348,40
608,702
703,616
724,504
36,360
246,528
76,152
634,156
703,40
348,703
76,826
784,682
203,643
96,392
764,50
372,528
616,752
50,842
682,784
348,826
40,826
484,276
764,410
484,76
364,724
566,276
704,410
76,410
710,72
682,528
320,842
360,276
208,528
484,724
36,458
12,528
76,724
724,156
724,616
32,152
188,842
752,616
76,862
124,528
616,348
792,842
682,360
364,702
364,368
12,124
360,528
764,276
616,724
512,392
152,410
178,156
616,804
152,76
40,616
566,12
710,516
616,703
214,842
764,608
124,276
616,56
344,458
76,643
32,842
28,566
440,643
752,643
442,276
50,276
704,276
512,410
246,826
604,124
364,784
710,826
246,842
40,156
458,784
376,344
566,826
112,804
372,724
566,528
792,724
795,156
724,484
76,56
246,156
344,826
266,842
504,724
348,616
203,56
40,643
792,364
616,842
458,704
376,826
642,792
554,842
348,203
344,784
804,792
710,344
566,52
398,40
784,36
364,710
72,826
152,528
784,344
372,392
348,643
340,842
591,842
792,784
724,76
586,842
360,608
344,842
203,348
634,784
608,410
203,724
752,724
344,704
364,300
566,710
784,56
360,344
344,702
12,792
376,156
554,392
104,764
376,275
100,276
792,528
496,156
368,392
620,24
116,842
170,528
376,56
203,842
642,348
12,76
40,703
620,826
372,752
112,428
36,344
414,702
792,818
862,702
180,156
533,842
124,76
32,724
894,156
36,276
288,710
704,458
68,76
792,56
40,705
124,344
586,4
484,392
710,528
208,156
703,643
792,682
792,642
414,528
148,842
566,84
608,276
348,724
208,616
704,36
233,643
804,616
442,56
634,724
50,826
40,642
704,826
703,826
348,528
12,826
233,752
398,792
40,724
32,276
608,764
634,764
300,276
440,428
398,124
398,804
124,56
36,704
414,586
752,36
300,792
372,156
344,528
566,36
203,752
32,528
784,458
440,276
414,818
208,246
344,410
208,724
100,642
376,528
600,76
566,124
348,842
710,716
344,360
178,842
222,842
434,276
100,792
376,276
620,528
344,764
512,764
634,528
368,724
704,360
704,116
484,826
710,894
32,124
887,156
710,410
484,152
398,642
818,276
368,528
31,842
804,156
484,32
408,156
620,842
705,40
818,842
344,276
604,392
233,246
642,100
704,702
208,643
170,152
818,682
368,124
484,528
804,818
703,156
634,56
12,156
24,124
246,616
12,56
208,392
246,56
348,804
144,842
704,344
642,826
376,792
512,842
788,276
620,56
428,440
704,764
704,528
170,156
604,276
372,36
32,858
170,591
604,152
586,156
364,4
642,528
348,784
398,276
300,196
818,724
170,218
804,112
804,276
586,784
104,156
170,724
32,862
96,410
703,528
100,300
12,620
414,826
112,276
152,484
152,604
591,862
48,682
804,398
484,320
705,191
32,818
484,410
32,604
434,156
440,528
32,170
440,616
170,862
218,604
300,100
170,276
703,724
170,533
604,724
860,643
152,724
604,410
32,12
352,528
226,724
554,410
858,76
634,458
24,710
246,208
300,842
246,233
191,70
818,792
364,792
440,233
398,826
208,344
591,218
516,710
170,826
716,710
152,124
512,784
642,643
442,826
586,276
554,826
642,616
24,528
24,620
218,862
100,56
703,642
226,156
642,40
608,528
152,56
246,124
804,422
642,724
604,76
608,484
398,376
170,604
508,528
608,458
170,76
428,233
804,348
191,276
586,826
384,842
818,826
703,752
688,276
12,352
414,360
112,76
887,764
466,710
50,724
478,156
300,826
703,842
398,616
384,528
96,36
180,894
504,76
372,344
428,643
760,276
642,842
807,276
112,616
804,364
233,842
418,764
178,24
804,842
31,643
144,826
