i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900.0,57933870.417,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,271000.0,12650620.447,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,300490.0,12193.478,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,847192.0,3110.138,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,847193.0,866.582,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,847330.0,0.0,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,854211.0,1008.073,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,870323.0,752006.252,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,870324.0,3060231.49,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
124,842,880240.0,586.494,57933870.417,752006.252,0.0,1008.073,12650620.447,3060231.49,586.494,866.582,12193.478,3110.138
842,124,270900.0,2176488.273,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,271000.0,17744002.311,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,300490.0,33416.574,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,847192.0,15772.311,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,847193.0,2046.029,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,847330.0,0.0,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,854211.0,2565.425,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,870323.0,441051.165,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,870324.0,582156.106,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
842,124,880240.0,729.283,2176488.273,441051.165,0.0,2565.425,17744002.311,582156.106,729.283,2046.029,33416.574,15772.311
392,842,270900.0,0.0,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,271000.0,724840.015,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,300490.0,891.867,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,847192.0,35984.468,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,847193.0,23768.252,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,847330.0,57399.832,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,854211.0,13380.758,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,870323.0,1730676.616,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
392,842,870324.0,616517.258,0.0,1730676.616,57399.832,13380.758,724840.015,616517.258,0.0,23768.252,891.867,35984.468
484,842,270900.0,59681016.466,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,271000.0,5145194.534,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,300490.0,9885.621,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,847192.0,390900.864,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,847193.0,6619.703,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,847330.0,73764.936,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,854211.0,14597.541,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,870323.0,570208.128,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,870324.0,299012.128,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,880240.0,495.687,59681016.466,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
842,484,270900.0,1378.812,1378.812,148919.632,179962.256,172278.736,10034840.635,164917.936,76.949,3782.062,4818.245,127398.44
842,484,271000.0,10034840.635,1378.812,148919.632,179962.256,172278.736,10034840.635,164917.936,76.949,3782.062,4818.245,127398.44
842,484,300490.0,4818.245,1378.812,148919.632,179962.256,172278.736,10034840.635,164917.936,76.949,3782.062,4818.245,127398.44
